1,Qual è la differenza tra JDK e JRE?,"JRE (Java Runtime Environment), software che contiene la JVM. La JVM non può essere scaricata singolarmente. JDK (Java Development Kit), software che contiene gli strumenti necessari al programmatore per poter sviluppare codice Java.  Tra le altre cose, include anche JRE."
2,Cos'è Java Virtual Machine (JVM)?,Java Virtual Machine (JVM) è una macchina virtuale che serve per eseguire il bytecode  dei programmi Java. Per ogni tipo di macchina esiste una JVM dedicata.
3,Perché Java è diverso dalla maggior parte di altri linguaggi?,Java è un linguaggio indipendente dalla piattaforma. Il compilatore Java converte il  codice sorgente in bytecode che può essere interpretato da JVM. Esiste una  JVM  per quasi tutte le piattaforme popolari nel mondo. Perciò un codice scritto in Java può essere eseguito su qualsiasi macchina.
4,Quali sono i principi fondamentali della Programmazione Orientata agli Oggetti?,"I principi fondamentali della programmazione orientata agli oggetti (OOPS) sono: Astrazione, Incapsulamento, Eredità e Polimorfismo"
5,Che cos’è un costruttore?,Un costruttore è un metodo speciale che serve per creare istanze della classe in cui è definito. Una classe può avere più costruttori. Ogni costruttore deve avere lo stesso nome della classe a cui appartiene. Non possono esistere due costruttori con gli stessi parametri in ingresso.
6,Che cos’è il costruttore di default?,Un costruttore che non ha nessun argomento è detto costruttore di default.
7,Cosa significa la keyword “this”?,"La parola chiave this in Java viene utilizzata per riferirsi, all’interno di un metodo o di un costruttore, agli attributi o metodi locali."
8,Spiegare il concetto di Eredità?,L’ereditarietà è la caratteristica che mette in relazione più classi che hanno caratteristiche comuni. In Java viene realizzata tramite le parole chiavi extends e implements.
9,Qual è la super-classe di tutti le classi?,La classe Object è la super-classe di tutte le classi.
10,Quando viene lanciata la NullPointerException?,Se proviamo ad accedere a un metodo (o una variabile) su un oggetto nullo viene lanciata la NullPointerException.
11,Cosa significa la keyword “super”?,"La parola chiave super è utilizzata in Java per riferirsi agli elementi della superclasse. Come per l’operatore this, anche super, viene utilizzato sia per le variabili (super.variabile) che per invocare altri metodi, tra cui anche il costruttore della classe padre."
12,Perché usiamo una variabile statica?,"Una variabile statica è condivisa da tutte le istanze della classe, ossia è una variabile globale comune a tutti gli oggetti di quella classe. Di conseguenza, se un'istanza modifica una variabile statica, questa modifica sarà visibile da tutte le altre istanze dello stesso tipo."
13,Cosa sono i metodi statici?,"Un metodo statico è un metodo legato alla classe, non all’istanza. Viene usato quando si ha necessita di creare una operazione che non usa dati specifici di una istanza. Per rendere un metodo statico è sufficiente inserire la parola chiave static nella sua dichiarazione."
14,In quale scenario viene usato un blocco statico?,"I blocchi statici vengono, in genere, utilizzati per inizializzare le variabili membro statiche della classe. Il blocco statico viene eseguito prima dell'esecuzione del main. A volte, possiamo sostituire il blocco statico con un metodo statico."
15,Qual è la differenza tra metodo statico e metodo di istanza?,"Spesso è necessario definire un comportamento per una classe che non è dipendente dalle variabili membro di un oggetto. Tale comportamento è inserito in un metodo statico.  Viceversa, se c'è un comportamento che dipende dalle variabili membro di un oggetto, non lo contrassegniamo statico ma rimane un normale metodo di istanza. Per invocare un metodo statico, non è necessario creare un oggetto, ma è sufficiente il nome della classe.  Per invocare un metodo di istanza, dobbiamo creare prima un oggetto. Non è possibile accedere alle variabili membro dell'istanza con un metodo statico, ma un metodo di istanza può chiamare sia variabili di istanza che statiche. "
16,Cosa significa overloading?,"In Java, una classe può avere più metodi con lo stesso nome ma argomenti diversi. Questo meccanismo è noto come Overloading. Per implementare l’overloading dobbiamo creare due, o più, metodi con lo stesso nome in una classe ed eseguire una / più delle seguenti operazioni: 1. Diverso numero di parametri 2. Diversi tipi di dati dei parametri 3. Diversa sequenza del tipo di dati dei parametri"
